username,repo_name,stars,repo_url
public-apis,public-apis,179000,https://github.com/public-apis/public-apis
httpie,httpie,53600,https://github.com/httpie/httpie
neovim,neovim,50500,https://github.com/neovim/neovim
strapi,strapi,42800,https://github.com/strapi/strapi
tiangolo,fastapi,41200,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,36100,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33600,https://github.com/slatedocs/slate
hasura,graphql-engine,25300,https://github.com/hasura/graphql-engine
YMFE,yapi,23500,https://github.com/YMFE/yapi
ccxt,ccxt,23100,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,22700,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,22700,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22000,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20800,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20000,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,19400,https://github.com/Kong/insomnia
microsoft,api-guidelines,18500,https://github.com/microsoft/api-guidelines
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16600,https://github.com/shieldfy/API-Security-Checklist
directus,directus,13700,https://github.com/directus/directus
learn-anything,learn-anything,13600,https://github.com/learn-anything/learn-anything
ChainSafe,web3.js,13400,https://github.com/ChainSafe/web3.js
youfou,wxpy,13100,https://github.com/youfou/wxpy
jsdoc,jsdoc,12700,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12400,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11800,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,11100,https://github.com/OpenAPITools/openapi-generator
graphile,postgraphile,11000,https://github.com/graphile/postgraphile
go-chi,chi,10800,https://github.com/go-chi/chi
postmanlabs,httpbin,10500,https://github.com/postmanlabs/httpbin
