username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,10100,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,10100,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,9100,https://github.com/bitwarden/server
nopSolutions,nopCommerce,6900,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6100,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4900,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4500,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2200,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1900,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-NetCore,1600,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1200,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,978,https://github.com/MarimerLLC/csla
riganti,dotvvm,596,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,585,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,537,https://github.com/json-api-dotnet/JsonApiDotNetCore
antonioCoco,SharPyShell,515,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,451,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,432,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,422,https://github.com/YAFNET/YAFNET
Maarten88,rrod,380,https://github.com/Maarten88/rrod
IvanJosipovic,BlazorTable,371,https://github.com/IvanJosipovic/BlazorTable
SapphireDb,SapphireDb,366,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,344,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,325,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,314,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,285,https://github.com/ALMMa/datatables.aspnet
