username,repo_name,stars,repo_url
flutter,flutter,135000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,86800,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,60600,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,48700,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,44900,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42000,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41500,https://github.com/square/okhttp
android,architecture-samples,40100,https://github.com/android/architecture-samples
square,retrofit,39400,https://github.com/square/retrofit
Solido,awesome-flutter,39200,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34600,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34000,https://github.com/fastlane/fastlane
airbnb,lottie-android,32299,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32299,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32200,https://github.com/bumptech/glide
Trinea,android-open-project,30800,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30400,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30100,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29900,https://github.com/bilibili/ijkplayer
zxing,zxing,29000,https://github.com/zxing/zxing
skylot,jadx,28900,https://github.com/skylot/jadx
laurent22,joplin,27900,https://github.com/laurent22/joplin
codepath,android_guides,27700,https://github.com/codepath/android_guides
square,leakcanary,27200,https://github.com/square/leakcanary
alibaba,fastjson,24100,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23300,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22600,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21900,https://github.com/react-native-elements/react-native-elements
google,iosched,21100,https://github.com/google/iosched
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
