username,repo_name,stars,repo_url
sindresorhus,awesome,187000,https://github.com/sindresorhus/awesome
vinta,awesome-python,115000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,76300,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,74600,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,58800,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,52900,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,52000,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,48700,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,47400,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,44900,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43600,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42000,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,39200,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,39100,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,38900,https://github.com/vsouza/awesome-ios
MunGell,awesome-for-beginners,38300,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,37200,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,35700,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33800,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33100,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31300,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29300,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29200,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,28900,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26200,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
rust-unofficial,awesome-rust,24000,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,23900,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22400,https://github.com/sindresorhus/awesome-electron
