username,repo_name,stars,repo_url
bregman-arie,devops-exercises,21100,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12400,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,12100,https://github.com/microsoft/recommenders
Azure,azure-quickstart-templates,11300,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,11300,https://github.com/pulumi/pulumi
mozilla,sops,9000,https://github.com/mozilla/sops
microsoft,computervision-recipes,8300,https://github.com/microsoft/computervision-recipes
google,go-cloud,8200,https://github.com/google/go-cloud
caprover,caprover,8100,https://github.com/caprover/caprover
microsoft,azuredatastudio,6600,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6100,https://github.com/node-formidable/formidable
midwayjs,midway,5300,https://github.com/midwayjs/midway
infracost,infracost,4900,https://github.com/infracost/infracost
thangchung,clean-code-dotnet,4500,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,4200,https://github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,4000,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,3900,https://github.com/nccgroup/ScoutSuite
aquasecurity,tfsec,3800,https://github.com/aquasecurity/tfsec
bridgecrewio,checkov,3700,https://github.com/bridgecrewio/checkov
Azure,autorest,3600,https://github.com/Azure/autorest
simov,grant,3500,https://github.com/simov/grant
Azure,azure-sdk-for-net,3300,https://github.com/Azure/azure-sdk-for-net
microsoft,SynapseML,3100,https://github.com/microsoft/SynapseML
hashicorp,terraform-provider-azurerm,3100,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,2900,https://github.com/Azure/azure-powershell
Azure,azure-cli,2900,https://github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,2800,https://github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2700,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2700,https://github.com/APIs-guru/openapi-directory
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
