username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,102000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,55000,https://github.com/nvm-sh/nvm
junegunn,fzf,41800,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,28300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,27700,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27400,https://github.com/mathiasbynens/dotfiles
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,25200,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell
starship,starship,22000,https://github.com/starship/starship
jaywcjlove,linux-command,17800,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14400,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14200,https://github.com/dylanaraps/neofetch
rbenv,rbenv,13900,https://github.com/rbenv/rbenv
powerline,powerline,13100,https://github.com/powerline/powerline
shelljs,shelljs,13000,https://github.com/shelljs/shelljs
Bash-it,bash-it,12800,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12300,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12300,https://github.com/faressoft/terminalizer
withfig,autocomplete,10300,https://github.com/withfig/autocomplete
denisidoro,navi,10200,https://github.com/denisidoro/navi
codota,TabNine,9000,https://github.com/codota/TabNine
rgcr,m-cli,8700,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8600,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8400,https://github.com/kanaka/mal
direnv,direnv,8400,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,8100,https://github.com/skywind3000/awesome-cheatsheets
carlospolop,PEASS-ng,7600,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7400,https://github.com/angristan/openvpn-install
extrawurst,gitui,7200,https://github.com/extrawurst/gitui
