username,repo_name,stars,repo_url
bitcoin,bitcoin,61500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,23100,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17300,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,15600,https://github.com/freqtrade/freqtrade
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,8700,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
solana-labs,solana,7100,https://github.com/solana-labs/solana
dvf,blockchain,6700,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5900,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5700,https://github.com/lightningnetwork/lnd
butor,blackbird,5500,https://github.com/butor/blackbird
spesmilo,electrum,5400,https://github.com/spesmilo/electrum
btcsuite,btcd,4600,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4500,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4200,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3900,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,3800,https://github.com/CryptoSignal/Crypto-Signal
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
coinpride,CryptoList,3600,https://github.com/coinpride/CryptoList
Scanate,EthList,3600,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3600,https://github.com/RomelTorres/alpha_vantage
jesse-ai,jesse,3500,https://github.com/jesse-ai/jesse
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3400,https://github.com/bitpay/wallet
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
btcpayserver,btcpayserver,3200,https://github.com/btcpayserver/btcpayserver
Jeiwan,blockchain_go,3200,https://github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3000,https://github.com/cointop-sh/cointop
lbryio,lbrycrd,2700,https://github.com/lbryio/lbrycrd
