username,repo_name,stars,repo_url
CyC2018,CS-Notes,145000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,62200,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,46300,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38000,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,35700,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,23500,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,23200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,22100,https://github.com/huihut/interview
youngyangyang04,leetcode-master,21900,https://github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,18500,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,17800,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,16300,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,14800,https://github.com/microsoft/vcpkg
ethereum,solidity,14500,https://github.com/ethereum/solidity
catchorg,Catch2,14500,https://github.com/catchorg/Catch2
gabime,spdlog,13700,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13400,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,13100,https://github.com/Qv2ray/Qv2ray
facebook,infer,12900,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12400,https://github.com/CoatiSoftware/Sourcetrail
google,tink,12000,https://github.com/google/tink
ssloy,tinyrenderer,12000,https://github.com/ssloy/tinyrenderer
doocs,leetcode,11800,https://github.com/doocs/leetcode
antlr,antlr4,11500,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,10900,https://github.com/kyleneideck/BackgroundMusic
SFTtech,openage,10800,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,10200,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,10100,https://github.com/compiler-explorer/compiler-explorer
Ciphey,Ciphey,9400,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9200,https://github.com/hmemcpy/milewski-ctfp-pdf
