username,repo_name,stars,repo_url
Genymobile,scrcpy,60600,https://github.com/Genymobile/scrcpy
neovim,neovim,50500,https://github.com/neovim/neovim
git,git,40900,https://github.com/git/git
obsproject,obs-studio,35800,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,35700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,29300,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,28000,https://github.com/FFmpeg/FFmpeg
vim,vim,26000,https://github.com/vim/vim
curl,curl,23500,https://github.com/curl/curl
ggreer,the_silver_searcher,23200,https://github.com/ggreer/the_silver_searcher
huihut,interview,22100,https://github.com/huihut/interview
ruby,ruby,18800,https://github.com/ruby/ruby
mpv-player,mpv,17700,https://github.com/mpv-player/mpv
google,flatbuffers,17400,https://github.com/google/flatbuffers
pbatard,rufus,17300,https://github.com/pbatard/rufus
ossrs,srs,17100,https://github.com/ossrs/srs
oracle,graal,16500,https://github.com/oracle/graal
radareorg,radare2,15700,https://github.com/radareorg/radare2
microsoft,vcpkg,14800,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14700,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14300,https://github.com/allinurl/goaccess
kovidgoyal,kitty,13500,https://github.com/kovidgoyal/kitty
jarun,nnn,13400,https://github.com/jarun/nnn
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,12900,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12400,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,12300,https://github.com/TheAlgorithms/C
hashcat,hashcat,11700,https://github.com/hashcat/hashcat
qmk,qmk_firmware,11500,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11100,https://github.com/s-matyukevich/raspberry-pi-os
