username,repo_name,stars,repo_url
realm,SwiftLint,15700,https://github.com/realm/SwiftLint
facebook,infer,12900,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,9500,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6500,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6500,https://github.com/SonarSource/sonarqube
Kristories,awesome-guidelines,6400,https://github.com/Kristories/awesome-guidelines
facebook,pyre-check,5800,https://github.com/facebook/pyre-check
reviewdog,reviewdog,4700,https://github.com/reviewdog/reviewdog
simplecov-ruby,simplecov,4400,https://github.com/simplecov-ruby/simplecov
detekt,detekt,4300,https://github.com/detekt/detekt
import-js,eslint-plugin-import,3800,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,3800,https://github.com/PyCQA/pylint
pmd,pmd,3700,https://github.com/pmd/pmd
phpro,grumphp,3700,https://github.com/phpro/grumphp
htmlhint,HTMLHint,2700,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2400,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2200,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1900,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1800,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1100,https://github.com/Tencent/feflow
urish,typewiz,1100,https://github.com/urish/typewiz
jakzal,phpqa,985,https://github.com/jakzal/phpqa
Tencent,CodeAnalysis,981,https://github.com/Tencent/CodeAnalysis
joshuaclayton,unused,874,https://github.com/joshuaclayton/unused
imgbot,Imgbot,859,https://github.com/imgbot/Imgbot
pdepend,pdepend,782,https://github.com/pdepend/pdepend
SonarSource,SonarJS,780,https://github.com/SonarSource/SonarJS
SonarSource,SonarTS,767,https://github.com/SonarSource/SonarTS
