username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,140000,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,53600,https://github.com/httpie/httpie
junegunn,fzf,41800,https://github.com/junegunn/fzf
sharkdp,bat,32000,https://github.com/sharkdp/bat
wagoodman,dive,29800,https://github.com/wagoodman/dive
sherlock-project,sherlock,29200,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,29200,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,28100,https://github.com/chubin/cheat.sh
cli,cli,27000,https://github.com/cli/cli
jesseduffield,lazygit,25700,https://github.com/jesseduffield/lazygit
angular,angular-cli,25200,https://github.com/angular/angular-cli
spf13,cobra,25000,https://github.com/spf13/cobra
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell
google,python-fire,21900,https://github.com/google/python-fire
tqdm,tqdm,21000,https://github.com/tqdm/tqdm
sharkdp,fd,20500,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,20300,https://github.com/ibraheemdev/modern-unix
n8n-io,n8n,20000,https://github.com/n8n-io/n8n
vercel,pkg,19600,https://github.com/vercel/pkg
avajs,ava,19600,https://github.com/avajs/ava
chalk,chalk,17900,https://github.com/chalk/chalk
vadimdemedes,ink,17700,https://github.com/vadimdemedes/ink
svg,svgo,17200,https://github.com/svg/svgo
urfave,cli,17200,https://github.com/urfave/cli
gpakosz,.tmux,15900,https://github.com/gpakosz/.tmux
allinurl,goaccess,14300,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13400,https://github.com/infinitered/ignite
jarun,nnn,13400,https://github.com/jarun/nnn
asdf-vm,asdf,13000,https://github.com/asdf-vm/asdf
