username,repo_name,stars,repo_url
vercel,next.js,80600,https://github.com/vercel/next.js
rust-lang,rust,62900,https://github.com/rust-lang/rust
webpack,webpack,60300,https://github.com/webpack/webpack
sveltejs,svelte,55400,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,52300,https://github.com/gatsbyjs/gatsby
babel,babel,40300,https://github.com/babel/babel
parcel-bundler,parcel,40100,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,40000,https://github.com/JetBrains/kotlin
evanw,esbuild,30200,https://github.com/evanw/esbuild
markedjs,marked,26800,https://github.com/markedjs/marked
vlang,v,26800,https://github.com/vlang/v
swc-project,swc,20000,https://github.com/swc-project/swc
vercel,pkg,19600,https://github.com/vercel/pkg
v8,v8,19000,https://github.com/v8/v8
AssemblyScript,assemblyscript,13400,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12700,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,12500,https://github.com/nim-lang/Nim
ziglang,zig,12300,https://github.com/ziglang/zig
gopherjs,gopherjs,10900,https://github.com/gopherjs/gopherjs
RustPython,RustPython,10500,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,10100,https://github.com/compiler-explorer/compiler-explorer
goplus,gop,7900,https://github.com/goplus/gop
apache,tvm,7700,https://github.com/apache/tvm
numba,numba,7200,https://github.com/numba/numba
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
elm,compiler,6700,https://github.com/elm/compiler
aalhour,awesome-compilers,6500,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6400,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,6000,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5700,https://github.com/rescript-lang/rescript-compiler
