username,repo_name,stars,repo_url
localstack,localstack,38400,https://github.com/localstack/localstack
harness,drone,24500,https://github.com/harness/drone
jenkinsci,jenkins,18400,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12200,https://github.com/auchenberg/volkswagen
openshift,origin,8100,https://github.com/openshift/origin
gocd,gocd,6400,https://github.com/gocd/gocd
concourse,concourse,6100,https://github.com/concourse/concourse
theonedev,onedev,5000,https://github.com/theonedev/onedev
buildbot,buildbot,4800,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4600,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4500,https://github.com/Strider-CD/strider
jenkins-x,jx,4100,https://github.com/jenkins-x/jx
ovh,cds,3700,https://github.com/ovh/cds
xcpretty,xcpretty,3700,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
cake-build,cake,3200,https://github.com/cake-build/cake
werf,werf,2900,https://github.com/werf/werf
iterative,cml,2900,https://github.com/iterative/cml
ligurio,awesome-ci,2800,https://github.com/ligurio/awesome-ci
JamesIves,github-pages-deploy-action,2600,https://github.com/JamesIves/github-pages-deploy-action
tox-dev,tox,2600,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2500,https://github.com/TheLartians/ModernCppStarter
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
dreamans,syncd,2100,https://github.com/dreamans/syncd
shivammathur,setup-php,2000,https://github.com/shivammathur/setup-php
houndci,hound,1900,https://github.com/houndci/hound
fabric8io,fabric8,1800,https://github.com/fabric8io/fabric8
lastbackend,lastbackend,1500,https://github.com/lastbackend/lastbackend
Flagsmith,flagsmith,1400,https://github.com/Flagsmith/flagsmith
nuke-build,nuke,1400,https://github.com/nuke-build/nuke
